name,artist,album_name,release_date,lyrics
Nagada Sang Dhol,Shreya Ghoshal,Ram-Leela (Original Motion Picture Soundtrack),2013-10-01,हे दिन तड़ाक दिन तड़ाक आजा उड़द के सरात पैरों से बेदी ज़रा खोल नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धाम धाम धान्य नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धान्य धाम धान्य हे दिन तड़ाक दिन तड़ाक आजा उड़द के सरात पैरों से बेदी ज़रा खोल नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धाम धाम धान्य नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धान्य धाम धान्य लीली लेमड़ी रे लीलो नागर वेळ नो छोड़ प्रभु परोध न रे मारा घेर उतारा करता जाओ उतारो नहीं करूँ रे मार घेर सीता जुवे वाट सीता अकेला रे जुवे राम लखमन नई वाट हां पल पल रे पल पल बीता जल जल नाच अब चल आ जा रे थर्र थर्र हाँ काम्पे थर्र थर्र हां डर डर जी से डर अब न न पाको में बोलै बोलै रे बोलै मोर बतलावे दिल का भूगोल नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धाम धाम धान्य नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धान्य धाम धान्य हे दिन तड़ाक दिन तड़ाक आजा उड़ के सरात पैरों से बेदी ज़रा खोल नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धाम धाम धान्य नागदा संग ढोल बाजे ढोल बाजे धान्य धान्य धान्य धाम धान्य लीली लेबड़ी रे लीलो नागर वेळ नो छोड़ प्रभु परोध न रे मारा घेर उतारा करता जाओ उतारो नहीं करूँ रे मार घेर सीता जुवे वाट सीता अकेला रे जुवे राम लखमन नई वाट हे ढोल बाजे ज्वाइन लयरिक्सबाइए ों टेलीग्राम
Barso Re ,A.R. Rahman,Best of Bollywood: Shreya Ghoshal,2016-07-08,ना रे ना रे ना रे ना रे ना रे ना रे ना रे ना रे बरसो रे मेघा मेघा बरसो रे मेघा मेघा बरसो रे मेघा बरसो मीठा है कोसा है बारिश का बोसा है कोसा है कोसा है बारिश का बोसा है जल जल जल जल जल जल जल थल जल थल चल चल चल चल चल चल बेहटा चल गीली गीली गीली है है है है है गीली गीली मति गीली मति के चल घेरेंगे बनाएंगे रे हरी भरी ाम्बी ाम्बी की डाली मिल के झूले झुलाएंगे रे ओह धन बैजू गयी ने हल जाते सबने बैलों की घंटी बजी और ताल लगे भरने रे तैर की चली मई तोह पर चली पर वाले पार्ले किनार चली रे मेघा नन्ना रे नन्ना रे नन्ना रे ना ना रे नन्ना रे नन्ना रे नन्ना रे ना ना रे तू तू तुरु तू तू तुरु काली काली रेट काली रातो में यह बदरवा बरस जायेगा गली गली मुझको मेघा ढूंढेगा और गरज के पलट जायेगा घर आँगन अंगना और पानी का झरना भूल ना जाना मुझे पूछेंगे सब वार्ना रे बहके चली मई तोह बहके चली रे कहते चली मई तोह कहके चली रे मेघा नन्ना रे नन्ना रे नन्ना रे ना ना रे नन्ना रे नन्ना रे नन्ना रे ना ना रे
Agar Tum Mil Jao,Shreya Ghoshal,Selfie with Shreya Ghoshal,2014-05-30,अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे पा कर ज़माने भर से रिश्ता तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम बिना तेरे कोई दिलकश नज़ारा हम न देखेंगे बिना तेरे कोई दिलकश नज़ारा हम न देखेंगे तुम्हे न हो पसंद उसको दोबारा हम न देखेंगे तेरी सूरत न हो जिस में तेरी सूरत न हो जिस में वह शीशा तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तेरे दिल में रहेंगे तुझको अपना घर बना लेंगे तेरे दिल में रहेंगे तुझको अपना घर बना लेंगे तेरे ख़्वाबों को बहेनो की तरह खुद पर सजा लेंगे कसम तेरी कसम कसम तेरी कसम तक़दीर का रोग मोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे हम अपने जिस्मोजां में कुछ ऐसे बसा लेंगे तुम्हे हम अपने जिस्मोजां में कुछ ऐसे बसा लेंगे तेरी खुशबू अपने जिस्म की खुशबू बना लेंगे खुदा से भी न जो टूटे खुदा से भी न जो टूटे वह रिश्ता जोड़ लेंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे पा कर ज़माने भर से रिश्ता तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम
Hai Mera Dil ,Alka Yagnik,Bollywood Melody Queen (Alka Yagnik),2016-07-01,इतना प्यार है यह प्यार प्यारा प्यारा हुआ है पहली बार होता है एक बार फिर न होगा यह दुबारा है मेरा दिल चुराके ले गया चुराने वाला मेरा कातिल है मेरा दिल चुराके ले गयी चुराने वाली मेरी कातिल यह दिल तुझपे आया है आते आते दर्दे दिल तो जाते है जाते जाते जागे हैं सोये हैं हम दोनों खोये हैं कैसी तन्हाई है मस्ती सी छायी है यह मौसम है प्यार के काबिल है मेरा दिल चुराके ले गया चुराने वाला मेरा कातिल अब तो काटे न कटे प्यासी राते कुछ कुछ होता है सुन के ऐसी बाते बेचैनी सहने दे पलकों में रहने दे तेरी बाहों में है तेरी राहों में है जानेजाना मेरी मंज़िल है मेरा दिल चुराके ले गयी चुराने वाली मेरी कातिल है मेरा दिल चुराके ले गया चुराने वाला मेरा कातिल इतना प्यार है यह प्यार प्यारा प्यारा हुआ है पहली बार होता है एक बार फिर न होगा यह दुबारा
Tip Tip Barsa Paani ,Udit Narayan,Musical Delight,2016-07-01,टिपटिप बरसा पानी टिपटिप बरसा पानी पानी ने आग लगाई आग लगी दिल में तो दिल को तेरी याद आयी तेरी याद आयी तो जल उठा मेरा भीगा बदन अब तुम ही बताओ साजन मैं क्या करू नाम तेरा मेरे लबों पे आया था नाम तेरा मेरे लबों पे आया था हो मैंने बहाने से तुम्हे बुलाया था झूम कर आ गया सावन मैं क्या करू टिपटिप बरसा पानी पानी ने आग लगाई आग लगी दिल में तो दिल को तेरी याद आयी तेरी याद आयी तो जल उठा मेरा भीगा बदन अब तुम ही बताओ साजन मैं क्या करू डूबा दरिया में खड़ा मैं साहिल पर डूबा दरिया में खड़ा मैं साहिल पर तू बिजली बनकर गिरी मेरे दिल पर चली ऐसी यह पागल पवन मैं क्या करू टिपटिप बरसा पानी पानी ने आग लगाई आग लगी दिल में जो तोह दिल को तेरी याद आयी तेरी याद आयी तो छ गया मुझपे दीवानापन मेरे बस में नहीं मेरा मैं मैं क्या करू
Zara Sa Jhoom Loon Main ,Asha Bhosle,The Very Best Of Asha Bhosle: The Queen Of Bollywood,2004,ज़रा सा झूम लून मैं अरे न रे न रे न ज़रा सा घूम लून मैं अरे न रे न रे न आ तुझे चूम लून मैं अरे न रे न बाबा न मैं चली बांके हवा रब्बा मेरे मैनु बचा ज़रा सा झूम लून मैं अरे न रे न रे न ज़रा सा घूम लून मैं अरे न रे न रे न आ तुझे चूम लून मैं अरे न रे न बाबा न मैं चली बांके हवा रब्बा मेरे मैनु बचा मौसम ये बेईमान मस्ती का ये सामान रोको ो लोगों ज़मीन पे गिरने लगा आसमान ठुमक ठुमक के झूलूँगी मैं उड़के गगन को छूलूंगी मैं चली बांके हवा रब्बा मेरे मैनु बचा ज़रा सा झूम लून मैं अरे न रे न रे न ज़रा सा घूम लून मैं अरे न रे न रे न आ तुझे चूम लून मैं अरे न रे न बाबा न ठंडी ठंडी पवन जलता है ये बदन जी चाहता है बना लून तुझको अपना साजन हुआ नहीं ये पहले कभी मेरी जान बदल गयी अभी अभी मैं चली बांके हवा रब्बा मेरे मैनु बचा ज़रा सा झूम लून मैं अरे न रे न रे न ज़रा सा घूम लून मैं अरे न रे न रे न आ तुझे चूम लून मैं अरे न रे न बाबा न जाती है तू कहाँ जानेमन जानेजां लड़की है तू खूबसूरत लड़का मैं नौजवान तुझे गले लगा लून आ पल्खों में बिठा लून आ हो गया मुझे नशा रब्बा मेरे मैनु बचा ज़रा सा झूम लून मैं अरे न रे न रे न ज़रा सा घूम लून मैं अरे न रे न रे न आ तुझे चूम लून मैं अरे न रे न बाबा न हो गया मुझे नशा रब्बा मेरे मैनु बचा
Neele Neele Ambar Par,Kalyanji-Anandji,Kalaakaar (Original Motion Picture Soundtrack),1983-06-10,कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा तेरी सूरत लगे हर ख़ुशी की तरह प्यार तेरा लगे ज़िन्दगी की तरह फूल अपनी मोहब्बत के खिलते रहे हर जनम तुमसे हम यूँ ही मिलते रहे तेरी तकदीर में तू मुकद्दर मेरा मैं पुजारन तेरी तू है मंदार मेरा मैं पुजारन तेरी तू है मंदार मेरा कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा मैं तेरी प्यास हु तू मेरी प्यास है देख ले न मेरा दिल तेरे पास है तू है नगमा मेरा तू है मेरी ग़ज़ल तू है मेरी मोहब्बत का ताज महल मैंने सोची है जो तू मेरी ाश है तू मेरे प्यार का एक इतिहास है तू मेरे प्यार का एक इतिहास है कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा कोई न तुमसे है ो मेरे साथिया नीले नीले अम्बर पे चाँद का पहरा हस्ता हुआ देखु साजन तेरा चेहरा
Yeh Jo Mohabbat Hai,Kishore Kumar,Best of Kishore Kumar,2014-09-28,ये जो मोहब्बत है ये उनका हैं काम मेहबूब का जो बस लेते हुए नाम मर जाए मिट जाए हो जाए बदनाम रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार टूटे अगर सागर नया सागर कोई ले ले मेरे खुदा दिल से कोई किसी के न खेले टूटे अगर सागर नया सागर कोई ले ले मेरे खुदा दिल से कोई किसी के न खेले दिल टूट जाए तोह क्या हो अंजाम ये जो मोहब्बत है ये उनका हैं काम मेहबूब का जो बस लेते हुए नाम मर जाए मिट जाए हो जाए बदनाम रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार आँखे किसी से ना उलझ जाए मैं डरता हु यारो हसीनो की गली से मैं गुजरता हु आँखे किसी से ना उलझ जाए मैं डरता हु यारो हसीनो की गली से मैं गुजरता हु बस दूर ही से कर के सलाम ये जो मोहब्बत है ये उनका हैं काम मेहबूब का जो बस लेते हुए नाम मर जाए मिट जाए हो जाए बदनाम रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार रहने दो छोडो भी जाने दो यार हम न करेंगे प्यार
O Mere Dil Ke Chain,Kishore Kumar,Kabhie To hasaye Kabhi To Rutaye,1972-03-03,ो मेरे दिल के चैन ो मेरे दिल के चैन चैन आए मेरे दिल को दुआ कीजिये ो मेरे दिल के चैन चैन आए मेरे दिल को दुआ कीजिये अपना ही साया देख के तुम जाने जहां शर्मा गए अभी तो ये पहली मंज़िल है तुम तो अभी से घबरा गए मेरा क्या होगा सोचो तो ज़रा है ऐसे ना ाँहें भरा कीजिये ो मेरे दिल के चैन चैन आए मेरे दिल को दुआ कीजिये आप का अरमां आप का नाम मेरा तराना और नहीं इन झुकाती पलको के सिवा दिल का ठिकाना और नहीं जचता ही नहीं आँखों में कोई दिल तुमको ही चाहे तो क्या कीजिये ो मेरे दिल के चैन चैन आए मेरे दिल को दुआ कीजिये यूँ तो अकेला ही अकसर गिर के संभल सकता हूँ मैं तुम जो पकड़ लो हाथ मेरा दुनिया बदल सकता हूँ मैं माँगा है तुम्हें दुनिया के लिए अब कूद ही सनम फैसला कीजिये ो मेरे दिल के चैन चैन आए मेरे दिल को दुआ कीजिये ो मेरे दिल के चैन ो मेरे
Apni To Jaise Taise,Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25,अपनी तो जैसे तैसे थोड़ी ऐसे या वैसे अपनी तो जैसे तैसे थोड़ी ऐसे या वैसे काट जायेगी आपका क्या होगा जनाबेआली आपका क्या होगा अपने आगे न पीछे न कोई ऊपर नीचे अपने आगे न पीछे न कोई ऊपर नीचे रोनेवाला न कोई रोनेवाली जनाबेआली आपका क्या होगा आप भी मेरी तरह इंसान की औलाद हैं आप मुँह मांगी दुआ हम उनसूनी फर्याद हैं आप भी मेरी तरह इंसान की औलाद हैं आप मुँह मांगी दुआ हम उनसूनी फर्याद हैं वह जिन्हे सारा ज़माना समझे लावारिस यहाँ आप जैसे ज़ालिमों के ज़ुल्म की इजात हैं गाली हुज़ूर की तो लगती दुआओं जैसी गाली हुज़ूर की तो लगती दुआओं जैसी हम दुआ भी दे तो लगे है गाली आपका क्या होगा जनाबेआली आपका क्या होगा हम आपके माथे से छलके जो पसीना भी कहीं आसमा हिलने लगे और काँप उठे यह ज़मीन आपका तो यह पसीना खून से भी कीमती और अपने खून की कीमत यहाँ कुछ भी नहीं अपना तो खून पानी जीना मरना बेमानी अपना तो खून पानी जीना मरना बेमानी वक़्त की हर ऐडा है अपनी देखि भली आपका क्या होगा जनाबेआली आपका क्या होगा हाँ अपनी तो जैसे तैसे थोड़ी ऐसे या वैसे अपनी तो जैसे तैसे थोड़ी ऐसे या वैसे काट जायेगी आपका क्या होगा जनाबेआली आपका क्या होगा अपने आगे न पीछे न कोई ऊपर नीचे अपने आगे न पीछे न कोई ऊपर नीचे रोनेवाला न कोई रोनेवाली जनाबेआली आपका क्या होगा
Pyar Hua Iqrar Hua,Manna Dey,"Legends: Manna Dey - The Maestro, Vol. 1",2013-03-05,प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल कहो की अपनी प्रीत का गीत का बदलेगा कभी तुम भी कहो इस राह का मीट ना बदलेगा कभी प्यार जो टुटा प्यार जो छूटा चाँद ना चमकेगा कभी आहा हां आहा हां आ प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल रातो दसो दिशाओ से कहेगी अपनी कहियाँ प्रीत हमारे प्यार की दोहराएगी जवनिया मई न रहूगी तुम न रहोगे फिर भी रहेगी निशानियां प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल कहता है दिल रास्ता मुश्किल मालुम नहीं है कहा मंज़िल प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल
"Say ""Shava Shava""",Aadesh Shrivastava,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,एरर फेचिंग थे सर्च रिजल्ट्स
It's the Time to Disco,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),2003-09-20,दिल है मेरा दीवाना क्या कहता है अब घबराना क्या ताल पे जब झूमे बदन हिचकिचाना शर्माना क्या खुल के झूमों खुल के गाओ आओ आओ यह खुल के कहो इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को कौन मिले है किसको इतस थे टाइम तो डिस्को दिल है मेरा दीवाना क्या कहता है अब घबराना क्या ताल पे जब झूमे बदन हिचकिचाना शर्माना क्या खुल के झूमों खुल के गाओ आओ आओ यह खुल के कहो इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को कौन मिले देखो किसको इतस थे टाइम तो डिस्को बलखाता है बदन ऐसी जो ताल है साँसों में चलती है आंधियां बहकता है यह मान अब तो यह हाल है मस्ती में खोये है हम यहाँ तुम भी खोके मस्त होक कोई तोके तो खुल के कहो इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को कह दो मिलो जिस जिसको इतस थे टाइम तो डिस्को जोश में नाचती रंगीन शाम है बिन पिए झूमता हैस ामा होश का अब यहाँ बोलो क्या काम है तेज़ है धड़कने दिल जवान यह ही रह है ठीक है न और है कहना तो खुल के कहो इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को समझो ज़रा तुम इसको इतस थे टाइम तो डिस्को दिल है मेरा दीवाना क्या कहता है अब घबराना क्या ताल पे जब झूमे बदन हिचकिचाना शर्माना क्या खुल के झूमों खुल के गाओ आओ आओ यह खुल के कहो इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को कौन मिले देखो किसको इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को इतस थे टाइम तो डिस्को कौन मिले देखो किसको इतस थे टाइम तो डिस्को
Main Jahaan Rahoon ,Rahat Fateh Ali Khan,Namastey London,2007-01-27,एरर फेचिंग थे सर्च रिजल्ट्स
Second Hand Jawaani ,Miss Pooja,Tanu Likes,2015-03-23,एरर फेचिंग थे सर्च रिजल्ट्स
Surili Akhiyon Wale ,Rahat Fateh Ali Khan,Manu Loves,2015-03-23,सुरीली आन्ह्कियों वाले सुना है तेरी आंखियों से बहती है नींदें और नींदों में सपने कभी तो किनारे पे उतर मेरे सपनो से आजा ज़मीन पे और मिल जा कहीं पे मिल जा कहीं ो ू ो मिल जा कहीं समय से परे समय से परे मिल का कहीं तू भी आंखियों से कभी मेरी आंखियों की सुन सुरीली आन्ह्कियों वाले सुना है तेरी आंखियों से जाने तू कहाँ है उड़ती हवा पे तेरे पैरो की निशान देखे जाने तू कहाँ है उड़ती हवा पे तेरे पैरो की निशान देखे ढोंढा है ज़मीन पे जाना है फलक पे सरे आसमान देखे मिल जा कहीं समय से परे समय से परे मिल का कहीं तू भी आंखियों से कभी मेरी आंखियों की सुन सुरीली आन्ह्कियों वाले सुना है तेरी आंखियों से एवेरीतिमे ी लुक ईंटो योर आईज ी सी माय पैराडाइस थे स्टार्स अरे शाइनिंग राइट उप इन थे स्काई पेंटिंग वर्ड्स ऑफ़ डिजायर कैन थिस बे रियल कैन थिस बे रियल अरे यू थे ओने फॉर में अरे यू थे ओने फॉर में यू हैवे कैप्चर्ड माय मंद माय हार्ट माय सोल ों एअर्थ यू अरे थे ओने वेटिंग फॉर एवेरीतिमे ी लुक ईंटो योर आईज ी सी माय पैराडाइस स्टार्स अरे शाइनिंग राइट उप इन थे स्काई पेंटिंग वर्ड्स ऑफ़ डिजायर उठ में चुपके देख रहे थे चाँद के पीछे पीछे थे उठ में चुपके देख रहे थे चाँद के पीछे पीछे थे सारा जहाँ देखा देखा न आँखों में पलकों के नीचे थे आ चल कहीं समय से परे समय से परे चल दे कहीं तू भी आंखियों से कभी मेरी आंखियों की सुन सुरीली आन्ह्कियों वाले सुना है तेरी आंखियों से सुरीली आन्ह्कियों वाले सुना दे ज़रा आंखियों से सुरीली आन्ह्कियों वाले सुना दे ज़रा आंखियों से सुरीली आन्ह्कियों वाले सुना दे ज़रा आंखियों से
Pani Da Rang Male ,Ayushmann Khurrana,Manu Loves,2015-03-23,एरर फेचिंग थे सर्च रिजल्ट्स
Tum Hi Ho Bandhu ,Neeraj Shridhar,Cocktail,2012-06-12,एरर फेचिंग थे सर्च रिजल्ट्स
Enna Sona ,A.R. Rahman,"Enna Sona (From ""OK Jaanu"")",2017-01-04,ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ावन जवान ते मैं यारा न मनावन ावन जवान ते मैं यारा न मनावन ेन्ना सोना ेन्ना सोना ेन्ना सोना ो ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना ो ेन्ना सोना ो ेन्ना सोना ेन्ना सोना कॉल होव ते सीख लगदा ऐ दूर जावे ते दिल जल्द ऐ केहड़ी अग्ग नाल रब्ब ने बनाया रब्ब ने बनाया रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ावन जवान ते मैं यारा न मनावन ावन जवान ते मैं यारा न मनावन ेन्ना सोना ेन्ना सोना ेन्ना सोना ो ेन्ना सोना ेन्ना सोना ेन्ना सोना ेन्ना सोना ताप लगे ना ताड़ी चंडी डा साड़ी राति मैं ओस छिड़कवान किन्ने दर्डा नाल रब्ब ने बनाया रब ने बनाया रब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ेन्ना सोना क्यों रब्ब ने बनाया ावन जवान ते मैं यारा न मनावन ावन जवान ते मैं यारा न मनावन ेन्ना सोना ेन्ना सोना ेन्ना सोना ो
Pehli Nazar Mein ,Atif Aslam,Atif Hit Story,2013-03-05,पहली नज़र में कैसे जादो कर दिया तेरा बन बैठा है मेरा जिया जाने क्या होगा क्या होगा क्या पता इस पल को मिलके आ जी ले ज़रा में हूँ यहाँ तू है यहाँ मेरी बाँहों में आ आ भी जा ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ बेबी ी लव ु बेबी ी लव यू बेबी ी लव यू बेबी ी लव योसो बेबी ी लव यू ओह ी लव यू ी लव यू ी लव यू सो बेबी ी लव यू हर दुआ में शामिल तेरा प्यार है बिन तेरे लम्हा भी दुश्वार है धधकों को तुझे से ही डरकर है तुझसे है रहतें तुझसे है चाहतें हर दुआ में शामिल तेरा प्यार है बिन तेरे लम्हा भी दुश्वार है धधकों को तुझे से ही डरकर है तुझसे है रहतें तुझसे है चाहतें तू जो मिली एक दिन मुझे में कहीं हो गया लापता ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ कर दिया दीवाना दर्दकाश ने चैन चीन िस्ख के एहसास ने बेखयाली दी है तेरे प्यास ने चाय सुरूर है कुछ तो ज़रूर है कर दिया दीवाना दर्दकाश ने चैन चीन िस्ख के एहसास ने बेखयाली दी है तेरे प्यास ने चाय सुरूर है कुछ तो ज़रूर है यह दूरियां जीने न दे हल मेरा तुझे न पता ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ ो जानेजां दोनों जहाँ मेरी बाँहों में आ भूल जा आ बेबी ी लव यू बेबी ी लव यू बेबी ी लव यू बेबी ी लव यू सो बेबी ी लव यू ओह ी लव यू बेबी ी लव यू ी लव यू
Sab Tera,Shraddha Kapoor,Best of Bollywood March,2017-04-12,इंग्लिश न जीया ज़िन्दगी एक पल भी तुझसे होक जुड़ा सुन ज़रा बिन तेरे मुझसे नाराज़ था दिल तू मिला है तो है कह रहा मैं तो तेरे रंग में रंग चूका हूँ बस तेरा बन चूका हूँ मेरा मुझ में कुछ नहीं सब तेरा मैं तो तेरे ढंग में ढल चुकी हूँ बस तेरी बन चुकी हूँ मेरा मुझ में कुछ नहीं सब तेरा सब तेरा सब तेरा फिर दिल के रास्तो पे तेरी आहात जो हुई हर धड़कन जश्न में है यह इनायत जो हुई हो ओफिर दिल के रास्तो पे तेरी आहात जो हुई हर धड़कन जश्न में है यह इनायत जो हुई मैं तो तुझे मिल के जी उठी हूँ तेरी धड़कन में छुपी हूँ मेरा मुझ में कुछ नहीं सब तेरा सब तेरा सब तेरा सब तेरा
Galliyan,Ankit Tiwari,Best of Bollywood March,2017-04-12,जब तक हम किसी के हमदर्द नहीं बनते न तब तक हम दर्द से और दर्द हम से जुड़ा नहीं होता ो यहीं डूबे दिन मेरे यहीं होते हैं सवेरे यहीं मरना और जीना यहीं मंदिर और मदीना ो यहीं डूबे दिन मेरे यहीं होते हैं सवेरे यहीं मरना और जीना यहीं मंदिर और मदीना तेरी गालियां गालियां तेरी गालियां मुझको भावें गालियां तेरी गालियां तेरी गलियां गालियां तेरी गालियां युहीं तडपावें गालियां तेरी गालियां तू मेरी नींदो में सोता है तू मेरे अश्क़ो में रोटा है सरगोशी सी है ख्यालों में तू न हो फिर भी तू होता है है सिला तू मेरे दर्द का मेरे दिल की दुआएं हैं तेरी गालियां गालियां तेरी गालियां मुझको भावें गलियां तेरी गलियां तेरी गलियां गालियां तेरी गालियां युहीं तडपावें गालियां तेरी गालियां कैसा है रिश्ता तेरामेरा बेचेहरा फिर भी कितना गहरा ये लम्हे लम्हे ये रेशम से खो जाएँ खो न जाएँ हमसे काफिला वक़्त का रोक ले अब्र से जुड़ा न हो तेरी गालियां गालियां तेरी गालियां मुझको भावे गलियां तेरी गलियां तेरी गलियां गालियां तेरी गालियां युहीं तडपावे गालियां तेरी गालियां गालियां तेरी गालियां तडपावें
Sun Mere Humsafar,Akhil Badrinath,Sun Mere Humsafar,2017-03-15,एरर फेचिंग थे सर्च रिजल्ट्स
Kya Usey Behkana,Arijit Singh,Kya Usey Behkana,2017-02-28,एरर फेचिंग थे सर्च रिजल्ट्स
Hua Hain Aaj Pehli Baar,Amaal Mallik,Best of Bollywood March,2017-04-12,एरर फेचिंग थे सर्च रिजल्ट्स
Judaai ,Rekha Bhardwaj,Badlapur (Original Motion Picture Soundtrack),2015-02-12,कैसी ये जुदाई है आँख भर मेरी आयी है मेरा दिल डूब रहा इसे बस अब डूब ने दो ये पहेली भर हुवा ये क्यों एहसास हुवा मेरा दिल टूट रहा इसे बस अब टूट ने दो मुझे बस अब रोने दो इस ग़म को बेहेने दो ये साथ जो छूट रहा इसे आज टूट ने दो कैसी ये जुदाई है आँख भर मेरी आयी है मेरा दिल डूब रहा इसे बस अब डूब ने दो खुश रहे बस तू मेरे दिल की यह दवा है खुद से पूछ ले तू तेरे दिल की क्या राजा है जान ले लो मेरी तेरे दिल में जो ढाबा है ये तोह बता मुझसे जुड़ा क्यों है एक बात सताती है जब तेरी याद आती है क्यों मुझसे रुट गया जाने क्यों दूर गया ये पहेली भर हुवा ये क्यों एहसास हुवा जाने अनजाने क्यों मुझे तुमसे प्यार हुवा हांसे हंस के रोता हूँ रोते रोते हँसता हूँ फिर खुद से कहता हूँ जो होना था हो ही गया
